检查项,数值,状态,说明
BaoStock分片0,167952,通过,失败股票数=0
BaoStock分片2,170481,通过,失败股票数=0
BaoStock分片3,180622,通过,失败股票数=0
BaoStock分片1,174343,通过,失败股票数=0
北交所历史行情,3179,提示,失败股票数=302; 历史ST按当前名称过滤
历史起始日,2026-01-05,通过,2026-01-01
历史截止日,2026-07-31,通过,2026-07-31
交易日数量,139,通过,由有效个股行情日期生成
涨跌停失败日期,0,通过,失败日期保留空值，不估算
上证50历史,0,提示,"Kline failed 1.000016: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Choice微盘股指数历史,0,提示,"Kline failed 47.800007: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
中证全指历史,0,提示,"Kline failed 1.000985: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
通信设备板块历史,0,提示,"Kline failed 90.BK0448: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
计算机设备板块历史,0,提示,"Kline failed 90.BK0735: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
元件板块历史,0,提示,"Kline failed 90.BK0459: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
半导体板块历史,0,提示,"Kline failed 90.BK1036: https://push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://1.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://7.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | https://35.push2his.eastmoney.com: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
